ParkID,ParkName,NeighbourhoodName
1,Champlain C.C,NORWOOD EAST
2,Cheriton Park West,KILDONAN DRIVE
5,Marj Edey Park,RIDGEWOOD SOUTH
7,Sioux Riverbank,ST. VITAL PERIMETER SOUTH
10,North Kildonan Parkway,VALHALLA
13,23 Archibald Riverbank,NORTH ST. BONIFACE
15,Baltimore Pumping Station,RIVERVIEW
16,Point Douglas Park,NORTH POINT DOUGLAS
21,Kinsmen Legacy Park,KILDARE-REDONDA
23,Seine River Greenway-Nova Vista,DAKOTA CROSSING
25,McGowan Park,SEVEN OAKS
27,Rover Dike East,NORTH POINT DOUGLAS
29,Sturgeon Creek Parkway-E,BIRCHWOOD
30,Deniset Park,ARCHWOOD
32,South St. Vital Greenway-7,DAKOTA CROSSING
33,South St. Vital Greenway-8,DAKOTA CROSSING
34,South St. Vital Greenway-9,DAKOTA CROSSING
36,Daly Gardens,RIVER WEST PARK
38,Kildonan Parkway,CHALMERS
40,North Winnipeg Action Centre,LORD SELKIRK PARK
42,Eugenie-Edgewood Riverbank,NORWOOD EAST
44,Dumoulin Park,NORTH ST. BONIFACE
45,Provencher North Riverbank,NORTH ST. BONIFACE
46,Mazenod Park,ST. BONIFACE INDUSTRIAL PARK
47,Harbourview South Optimist Park,GRASSIE
48,Omand's Creek Border Site,ST. JAMES INDUSTRIAL
49,Bridgwater Park,BRIDGWATER FOREST
50,Grant Avenue Greenspace-4,EARL GREY
51,South Winnipeg C.C-Richmond Kings Site,FORT RICHMOND
52,Rotary Prairie Nature Park,REGENT
53,Edison Park,ROSSMERE-A
54,Cedar Ranch Park,MISSION GARDENS
55,Scouts Park,MELROSE
58,S WPG Parkway,RIVERVIEW
59,Central Corydon C.C-River Heights Site,NORTH RIVER HEIGHTS
60,Mission Park,MISSION INDUSTRIAL
61,Marcy Beaucage Park/Roblin Park C.C,ROBLIN PARK
62,Slaw Rebchuk Monument,LORD SELKIRK PARK
65,Powers-Selkirk Park South,WILLIAM WHYTE
66,Powers-Selkirk Park North,WILLIAM WHYTE
67,Lagimodiere Buffer-3,WINDSOR PARK
68,Marion North Riverbank,CENTRAL ST. BONIFACE
69,Adsum Park / Maples C.C,THE MAPLES
70,Andrew Mynarski V.C. Park,MANDALAY WEST
72,Coronation Park,NORWOOD EAST
74,Brixford Park,MEADOWOOD
75,Highbury Park,RIVER PARK SOUTH
76,Shamrock School Park,SOUTHDALE
78,South St. Vital Greenway-2,RIVER PARK SOUTH
80,St. Vital Memorial Park,ELM PARK
82,Arrowwood Tot Lot,GARDEN CITY
83,Egerton-Essex Riverbank,GLENWOOD
84,Wellington Crescent-Hugo Park,ROSLYN
92,Lyndale Drive Park North,NORWOOD WEST
93,Assiniboia West Rec. Assoc.-Morgan Site,CRESTVIEW
96,Kleysen Park,LINDEN WOODS
97,La Verendrye-La Fleche Riverbank,NORTH ST. BONIFACE
98,Provencher Park / Notre Dame C.C,CENTRAL ST. BONIFACE
100,Trappiste Monastery Forest,PERRAULT
103,Melrose Park C.C,MUNROE WEST
110,Carter Park,EBBY-WENTWORTH
111,Grant Avenue Greenspace-2,EARL GREY
112,Grant Avenue Greenspace-5,EBBY-WENTWORTH
113,Grant Avenue Greenspace-3,EBBY-WENTWORTH
114,Earl Grey C.C,EARL GREY
115,River Osborne C.C-Edna Stefaniuk Gym Site,McMILLAN
116,River Osborne Wading Pool/Block Parents,McMILLAN
117,Wellington-Gertrude Buffer,McMILLAN
118,Benson Park,McMILLAN
119,Scott-Stradbrook Park,RIVER-OSBORNE
122,Mayfair Park East,RIVER-OSBORNE
123,Mayfair Recreation Centre,RIVER-OSBORNE
124,Fort Rouge Park,RIVER-OSBORNE
125,Gerald James Lynch Park,RIVER-OSBORNE
126,Munson Park,CRESCENTWOOD
127,Enderton Park,CRESCENTWOOD
128,Maryland Bridge Park,WELLINGTON CRESCENT
134,Lagimodiere Buffer-1,WINDSOR PARK
140,Fort Rouge Leisure Centre,LORD ROBERTS
143,Westview Park,ST. JAMES INDUSTRIAL
176,Disraeli Buffer South,SOUTH POINT DOUGLAS
185,Disraeli Buffer North,SOUTH POINT DOUGLAS
188,William Whyte Park,SOUTH POINT DOUGLAS
190,Brooklyn Street South Park,KING EDWARD
191,David Johnston Memorial Park,KING EDWARD
192,Brooklyn Street North Playground,KING EDWARD
193,Brooklyn Street Park,KING EDWARD
195,King Edward & Ness Playground,KING EDWARD
196,King Edward & Silver Park,KING EDWARD
198,Luigi D'Ottavio Park,KENSINGTON
199,Jae Eadie Park,BRUCE PARK
200,Parkside Easement,BRUCE PARK
201,Riverbend Buffer,BRUCE PARK
203,Collegiate Tennis Courts,KING EDWARD
204,Collegiate Park,KING EDWARD
205,Marjorie Park,KING EDWARD
206,Bord-Aire C.C,KING EDWARD
207,Norberry-Glenlee C.C,NORBERRY
209,Bruce Park,BRUCE PARK
210,Truro Creek Greenway-Albany East,DEER LODGE
212,Truro Creek Greenway-Truro East,DEER LODGE
214,Truro Park,DEER LODGE
216,Bourkevale C.C,BRUCE PARK
217,Kapyong Park,KING EDWARD
218,Inglewood Park,KING EDWARD
219,J. Frank Johnston Park,DEER LODGE
220,Linwood Lot,DEER LODGE
221,Deer Lodge C.C,DEER LODGE
223,Strathmillan Lodge Park,SILVER HEIGHTS
224,Leicester Square Playground,JAMESWOOD
225,Listowel Playground,JAMESWOOD
226,Silver-Moray Greenspace,JAMESWOOD
227,Silver Greenway-1,JAMESWOOD
229,Silver Greenway-2,JAMESWOOD
231,Woodhaven Boulevard Greenspace South,WOODHAVEN
232,Woodhaven Boulevard Greenspace North,WOODHAVEN
233,Woodhaven Park C.C,WOODHAVEN
234,Assiniboine-Windham Riverbank,BIRCHWOOD
236,Harris Boulevard,KIRKFIELD
237,George Minaker Park,BOOTH
238,Golden Gate Park / Sturgeon Heights C.C,SILVER HEIGHTS
239,Olive Greenspace,BIRCHWOOD
240,Birchwood Park,BIRCHWOOD
241,Neil Bardal Memorial Park,SILVER HEIGHTS
242,Sturgeon Road Buffer South,BOOTH
243,Sturgeon Road Buffer North,BOOTH
244,Living Prairie Museum,BOOTH
245,St. Charles Grove,GLENDALE
246,Suzanne-Jeanette Bay Park,GLENDALE
247,Bernadine Crescent Park,BUCHANAN
248,Bernadine Stradford Park,BUCHANAN
249,Alexander Ross Athletic Fields,BUCHANAN
251,Isbister Park,BUCHANAN
252,Saskatchewan Avenue Greenway-2,BUCHANAN
