SignID,SchoolName,StreetID
872,KING EDWARD COMMUNITY SCHOOL,5
873,KING EDWARD COMMUNITY SCHOOL,5
874,KING EDWARD COMMUNITY SCHOOL,5
875,KING EDWARD COMMUNITY SCHOOL,5
876,KING EDWARD COMMUNITY SCHOOL,5
1639,KING EDWARD COMMUNITY SCHOOL,5
2096,BEAVERLODGE SCHOOL,12
800,JOHN M. KING SCHOOL,32
1677,JOHN M. KING SCHOOL,32
1678,JOHN M. KING SCHOOL,32
1679,JOHN M. KING SCHOOL,32
1680,JOHN M. KING SCHOOL,32
1681,JOHN M. KING SCHOOL,32
360,DUFFERIN SCHOOL,62
1966,DUFFERIN SCHOOL,62
1967,DUFFERIN SCHOOL,62
1968,DUFFERIN SCHOOL,62
1973,DUFFERIN SCHOOL,62
98,PINKHAM SCHOOL,62
99,PINKHAM SCHOOL,62
1079,PINKHAM SCHOOL,62
1080,PINKHAM SCHOOL,62
1081,PINKHAM SCHOOL,62
1082,PINKHAM SCHOOL,62
222,WESTON SCHOOL,62
223,WESTON SCHOOL,62
497,WESTON SCHOOL,62
498,WESTON SCHOOL,62
499,WESTON SCHOOL,62
500,WESTON SCHOOL,62
251,STRATHCONA SCHOOL,63
581,STRATHCONA SCHOOL,63
582,STRATHCONA SCHOOL,63
585,STRATHCONA SCHOOL,63
586,STRATHCONA SCHOOL,63
596,STRATHCONA SCHOOL,63
70,RALPH BROWN SCHOOL,115
979,RALPH BROWN SCHOOL,115
986,RALPH BROWN SCHOOL,115
987,RALPH BROWN SCHOOL,115
988,RALPH BROWN SCHOOL,115
994,RALPH BROWN SCHOOL,115
241,VALLEY GARDENS MIDDLE SCHOOL,125
558,VALLEY GARDENS MIDDLE SCHOOL,125
559,VALLEY GARDENS MIDDLE SCHOOL,125
359,EARL GREY SCHOOL,144
1952,EARL GREY SCHOOL,144
1953,EARL GREY SCHOOL,144
1957,EARL GREY SCHOOL,144
1958,EARL GREY SCHOOL,144
1959,EARL GREY SCHOOL,144
778,ATHLONE SCHOOL,204
779,ATHLONE SCHOOL,204
2129,ATHLONE SCHOOL,204
2130,ATHLONE SCHOOL,204
2131,ATHLONE SCHOOL,204
2132,ATHLONE SCHOOL,204
760,BRUCE MIDDLE SCHOOL,204
761,BRUCE MIDDLE SCHOOL,204
2074,BRUCE MIDDLE SCHOOL,204
2075,BRUCE MIDDLE SCHOOL,204
2076,BRUCE MIDDLE SCHOOL,204
2077,BRUCE MIDDLE SCHOOL,204
326,FRONTENAC SCHOOL,227
327,FRONTENAC SCHOOL,227
1392,FRONTENAC SCHOOL,227
1393,FRONTENAC SCHOOL,227
1394,FRONTENAC SCHOOL,227
1395,FRONTENAC SCHOOL,227
775,BAIRDMORE SCHOOL,246
2117,BAIRDMORE SCHOOL,246
2119,BAIRDMORE SCHOOL,246
2120,BAIRDMORE SCHOOL,246
2124,BAIRDMORE SCHOOL,246
2125,BAIRDMORE SCHOOL,246
197,GREENWAY SCHOOL,270
1304,GREENWAY SCHOOL,270
1306,GREENWAY SCHOOL,270
1832,GREENWAY SCHOOL,270
1833,GREENWAY SCHOOL,270
1834,GREENWAY SCHOOL,270
2171,RIVER WEST PARK SCHOOL,283
2172,RIVER WEST PARK SCHOOL,283
2173,RIVER WEST PARK SCHOOL,283
2174,RIVER WEST PARK SCHOOL,283
808,ISAAC BROCK SCHOOL,291
1716,ISAAC BROCK SCHOOL,291
1717,ISAAC BROCK SCHOOL,291
1718,ISAAC BROCK SCHOOL,291
301,RIVERVIEW SCHOOL,297
303,RIVERVIEW SCHOOL,297
939,RIVERVIEW SCHOOL,297
940,RIVERVIEW SCHOOL,297
943,RIVERVIEW SCHOOL,297
944,RIVERVIEW SCHOOL,297
322,GENERAL BYNG SCHOOL,341
323,GENERAL BYNG SCHOOL,341
1384,GENERAL BYNG SCHOOL,341
1385,GENERAL BYNG SCHOOL,341
1386,GENERAL BYNG SCHOOL,341
1387,GENERAL BYNG SCHOOL,341
293,SHAMROCK SCHOOL,347
294,SHAMROCK SCHOOL,347
716,SHAMROCK SCHOOL,347
717,SHAMROCK SCHOOL,347
718,SHAMROCK SCHOOL,347
719,SHAMROCK SCHOOL,347
163,LAVALLEE SCHOOL,366
