SchoolName,PhoneNumber,DivisionName
ACADIA COLONY SCHOOL,2048343524,Beautiful Plains
ACADIA JUNIOR HIGH SCHOOL,2042696210,Pembina Trails School Division
ALBRIGHT SCHOOL,2047468518,Red River Valley
ALEXANDER SCHOOL,2047522251,Brandon
ALF CUTHBERT SCHOOL,2047682396,Lakeshore
ALONSA SCHOOL,2047672168,Turtle River
AMBER TRAILS COMMUNITY SCHOOL,2046975965,Seven Oaks
ANDREW MYNARSKI V.C. SCHOOL,2045868497,Winnipeg
ANGUS MCKAY SCHOOL,2046612378,River East Transcona School Division
ANOLA SCHOOL,2048662962,Sunrise
ARBORG COLLEGIATE,2043762605,Evergreen
ARBORG EARLY/MIDDLE YEARS SCHOOL,2043765054,Evergreen
ARBORGATE SCHOOL,2044245607,Seine River
ARCHWOOD SCHOOL,2042337983,Louis Riel School Division
ARGYLE ALTERNATIVE HIGH SCHOOL,2049424326,Winnipeg
ARTHUR A. LEACH JUNIOR HIGH,2042691674,Pembina Trails School Division
ARTHUR DAY MIDDLE SCHOOL,2049586522,River East Transcona School Division
ARTHUR E. WRIGHT COMMUNITY SCHOOL,2046326314,Seven Oaks
ASHERN CENTRAL SCHOOL,2047682571,Lakeshore
ASHERN EARLY YEARS SCHOOL,2047682625,Lakeshore
ATHLONE SCHOOL,2048321373,St. James - Assiniboia School Division
AUSTIN ELEMENTARY,2046372240,Pine Creek
BAIRDMORE SCHOOL,2042613350,Pembina Trails School Division
BALDUR SCHOOL,2045352314,Prairie Spirit
BALMORAL SCHOOL,2044672501,Interlake
BARRICKMAN COLONY SCHOOL,2043532297,Prairie Rose
BARROWS JUNCTION SCHOOL,2045456246,Frontier
BEAUMONT SCHOOL,2048952820,Pembina Trails School Division
BEAVER CREEK SCHOOL,2042742722,Pine Creek
BEAVERLODGE SCHOOL,2048958213,Pembina Trails School Division
BENITO SCHOOL,2045392466,Swan Valley
BERNIE WOLFE SCHOOL,2049586532,River East Transcona School Division
BERTRUN E. GLAVIN SCHOOL,2046691277,River East Transcona School Division
BETTY GIBSON SCHOOL,2047293965,Brandon
BINSCARTH ELEMENTARY,2048422802,Park West
BIRTLE COLLEGIATE,2048423315,Park West
BIRTLE ELEMENTARY,2048423463,Park West
BLOOMING PRAIRIE COLONY SCHOOL,2043532297,Prairie Rose
BLUE CLAY COLONY SCHOOL,2044272315,Border Land
BLUMENFELD SCHOOL,2043257208,Garden Valley
