StreetID,FullName
1,Abbeydale Cres
2,Abbotsfield Dr
3,Abbotsford Cres
4,Abercorn Grove
5,Aberdeen Ave
6,Abington Rd
7,Abraham Bay
8,Academy Rd
9,Acadia Bay
10,Acheson Dr
11,Acores St
12,Acorn Pl
13,Acton Pl
14,Ada St
15,Adamar Rd
16,Adamdell Cres
17,Adara Alley
18,Addington Bay
19,Addison Ave
20,Addison Cres
21,Adelaide St
22,Adele Ave
23,Adelina Gregoire Pl
24,Administration St
25,Admiral Ave
26,Adsum Dr
27,Afton Rd
28,Agassiz Dr
29,Agate Bay
30,Agincourt Rd
31,Agnes Arnold Pl
32,Agnes St
33,Aikins St
34,Aikman Pl
35,Aimes Rd
36,Ainsdale Way
37,Ainslie St
38,Ainsworth Pl
39,Aintree Cres
40,Air Force Way
41,Airlies St
42,Airport Rd
43,Al Thompson Dr
44,Alanmore Crt
45,Albany St
46,Alberhill Cres
47,Albert St
48,Albina Way
49,Albright Rd
50,Alburg Dr
51,Alcott St
52,Alcrest Dr
53,Alder Bay
54,Alderbrook Rd
55,Aldershot Blvd
56,Alderwood Rd
57,Aldgate Rd
58,Aldine St
59,Aldrich Ave
60,Alenbrook Bay
61,Alex Taylor Dr
62,Alexander Ave
63,Alfred Ave
64,Alfred Penner Bay
65,Algonquin Ave
66,Alguire Ave
67,Allan Blye Dr
68,Allan Rouse Cove
69,Allan St
70,Allard Ave
71,Allbutt Pl
72,Allegheny Dr
73,Allen Dyne Rd
74,Allenby Cres
75,Allendale Dr
76,Alley Ai St
77,Alley Az Ave
78,Allincite Rd
79,Alloway Ave
80,Almey Ave
81,Almington Bay
82,Almond Bay
83,Almondel Key
84,Alonza St
85,Alora Cove
86,Alpha St
87,Alpine Ave
88,Alsip Dr
89,Altamont St
90,Altomare Pl
91,Alton Way
92,Alumni Lane
93,Alumni Pl
94,Aluthra Pl
95,Alverstone St
96,Alwood Cres
97,Amanda Cres
98,Amarynth Cres
99,Ambassador Row
100,Amber Trail
101,Ambergate Dr
102,Amberstone Rd
103,Amberwood Pl
104,Ambleside Blvd
105,Ambroise Lane
106,Amelia Cres
107,Amersham Cres
108,Amethyst Pl
109,Amherst St
110,Amundsen Bay
111,Amy St
112,Ancaster Gate
113,Anderson Ave
114,Andover Ave
115,Andrews St
116,Angela Everts Dr
117,Angelo Grande Bocce Way
118,Anglia Ave
119,Angood Ave
120,Angus St
121,Annabella St
122,Anneville Cres
123,Ansell Crt
124,Antoine Ave
125,Antrim Rd
126,Apex St
127,Apex Way
128,Appelmans Bay
129,Apple Hill Rd
130,Apple Lane
131,Appleby Cove
132,Applefield Crt
133,Appleford Gate
134,Appleton St
135,Appletree Cres
136,Applewood Bay
137,April St
138,Aquila Rd
139,Ara Way
140,Arbor Grove
141,Arbour Meadow Gate
142,Arbourwood Crt
143,Arbroath Dr
144,Arbuthnot St
145,Arby Bay
146,Archibald St
147,Arctic St
148,Arden Ave
149,Areisa Bay
150,Argate Dr
151,Argonne Bay
152,Argue St
153,Argus Rd
154,Argus St
155,Argyle St
156,Argyle St N
157,Arklie Pl
158,Arlington St
159,Arlington St Viaduc
160,Armour Cres
161,Armoury Ave
162,Armstrong Ave
163,Arnold Ave
164,Arpin Bay
165,Arrow St
166,Arrowhead Crt
167,Arrowwood Dr N
168,Arrowwood Dr S
169,Art Miki Way
170,Arthur Creak Dr
171,Arthur St
172,Arthur Wright Cres
173,Arthur Wright Way
174,Artillery St
175,Arundel Rd
176,Ascot Bay
177,Ash St
178,Ashburn St
179,Ashbury Bay
180,Ashcroft Pt
181,Ashdale Ave
182,Ashern Rd
183,Ashford Dr
184,Ashgrove Pt
185,Ashland Ave
186,Ashley Cove
187,Ashmore Dr
188,Ashton Ave
189,Ashwood Cove
190,Ashworth St
191,Ashworth St S
192,Aspen Cove
193,Aspen Forest Pt
194,Aspen Hill Pl
195,Aspenwood Pl
196,Assiniboine Ave
197,Assiniboine Cres
198,Assiniboine Grove
199,Assiniboine Park Dr
200,Assiniboine Pk Ft
201,Aster Ave
202,Astoria Pt
203,Athabasca Trail
204,Athlone Dr
205,Atkinson Rd
206,Atlantic Ave
207,Atlas Cres
208,Attache Dr
209,Attache Pl
210,Attley Pl
211,Attridge Lane
212,Atwood St
213,Aubert St
214,Aubin Dr
215,Aubrey St
216,Audette Dr
217,Audubon Pl
218,Augier Ave
219,Augusta Dr
220,Aulneau St
221,Auriga Lane
222,Aurora St
223,Austin St
224,Austin St N
225,Autumnlea Path
226,Autumnview Dr
227,Autumnwood Dr
228,Avaco Dr
229,Avalon Rd
230,Avery Dr
231,Avila Ave
232,Avior Dr
233,Avon Gate
234,Avondale Rd
235,Avonherst St
236,Avonlynn Crt
237,Avril Lane
238,Aylmer St
239,Ayr Blvd
240,Bachinsky St
241,Bachman Bay
242,Baden Crt
243,Baffin Cres
244,Bailley Ave
245,Baird Pl
246,Bairdmore Blvd
247,Baisinger Dr
248,Baker Bay
249,Bakersfield Crt
250,Balaban Pl
251,Balcom Cove
252,Baldry Bay
253,Balfour Ave
254,Balgona Rd
255,Balham St
256,Ballantrae Dr
257,Ballard Cres
258,Balmoral St
259,Balsam Pl
260,Baltic Bay
261,Baltimore Rd
262,Bancroft Bay
263,Banff Pl
264,Bangor Ave
265,Bank Ave
266,Bankfield Cres
267,Bannatyne Ave
268,Bannatyne Ave W
269,Bannerman Ave
270,Banning St
271,Bannister Rd
272,Banting Dr
273,Bantry Pl
274,Baptiste Tourond Rd
275,Barb Culbertson Cove
276,Barbara Cres
277,Barber St
278,Barberry Rd
279,Bard Blvd
280,Bard Pl
281,Bardal Bay
282,Bardsley Pl
283,Barker Blvd
284,Barkwood Bay
285,Barlow Cres
286,Barnes St
287,Barneveld Rd
288,Barnham Cres
289,Barnstaple Cove
290,Barona Cove
291,Barratt Ave
292,Barrington Ave
293,Barriwood Cove
294,Barrmill Rd
295,Barron Dr
296,Barry Ave
297,Bartlet Ave
298,Barton Ave
299,Basel Ave
300,Bass Bay
301,Basswood Pl
302,Batchelor Ave
303,Bates Ave
304,Bathgate Bay
305,Batoche Ave
306,Battersea Close
307,Battershill St
308,Battery St
309,Battleford Bay
310,Baudoux Pl
311,Bawlf St
312,Baxter Bay
313,Baycrest Crt
314,Bayfield Ave
315,Baygrove Pt
316,Baylor Ave
317,Bayne Cres
318,Bayridge Ave
319,Bayshore Cove
320,Baytree Crt
321,Bayview Dr
322,Bayview Pl
323,Baywater Pl
324,Baywood Pl
325,Beach Ave
326,Beachgrove Crt
327,Beachham Cres
328,Beachside Bay
329,Beacon Hill Pl
330,Beacon St
331,Beaconsfield St
332,Bear Creek Bay
333,Beatrice St
334,Beauchamp Bay
335,Beauchemin Ave
336,Beaudry Bay
337,Beaufort Cres
338,Beaulieu St
339,Beaulynn Cove
340,Beaumont Bay
341,Beaumont St
342,Beaupre Bay
343,Beauty Ave
344,Beaver St
345,Beaverbend Cres
346,Beaverbrook St
347,Beaverhill Blvd
348,Beck Cove
349,Becker St
350,Beckinsale Bay
351,Beckwith Lane
352,Becontree Bay
353,Bedard Cres
354,Beddington St
355,Bedford Ave
356,Bedson St
357,Beecher Ave
358,Beechtree Cres
359,Beechwood Pl
360,Beeston Dr
361,Beghin Ave
362,Behnke Rd
363,Beiko Ave
364,Belair Rd
365,Belcourt Bay
366,Beliveau Rd
367,Beliveau Rd E
368,Bell Ave
369,Bell Gardens Cove
370,Bellavista Cres
371,Bellbrook Pl
372,Bellemer Dr
373,Bellflower Rd
374,Bellington Pl
375,Belmont Ave
376,Belton St
377,Belvidere St
378,Ben Hewak Bay
379,Benbow Rd
380,Bender Bay
381,Benn Ave
382,Bennett Ave
383,Bentall St
384,Bentley St
385,Bentwood Bay
386,Berard Way
387,Berens St
388,Beresford Ave
389,Bergman Cres
390,Bering Ave
391,Berkley St
392,Berkshire Bay
393,Berlin St
394,Bernadette Ave
395,Bernadine Cres
396,Bernard Bay
397,Bernfield Bay
398,Bernier Bay
399,Berry Hill Rd
400,Berry St
401,Berrydale Ave
402,Bertha St
403,Bertrand St
404,Berube Pl
405,Berwick Crt
406,Berwick Pl
407,Berwyn Bay
408,Besant St
409,Bessboro St
410,Bessboro St N
411,Best St
412,Bethray Bay
413,Bethune Way
414,Betournay St
415,Betsworth Ave
416,Beverley St
417,Bibeau Bay
418,Bibeaudel Pl
419,Bibi Khivi Bend
420,Bickerton St
421,Bienvenu St
422,Big Bluestem Rd
423,Bigstone Pl
424,Bill Blaikie Bay
425,Bill Briercliffe Dr
426,Bill Dance Dr
427,Bill Larkin Lane
428,Billingham Pl
429,Bingham Dr
430,Binscarth St
431,Birch Bay
432,Birch Grove
433,Birch Point Pl
